EmployeeNumber,TotalWorkingYears,PercentSalaryHike,NumCompaniesWorked,YearsAtCompany,MonthlyRate,HireDate,WorkLifeBalance,StandardHours,EmployeeCount,EducationField,BusinessTravel,OverTime,DistanceFromHome,HourlyRate,YearsInCurrentRole,PerformanceRating,DailyRate,Attrition,Gender,Over18,JobInvolvement,TrainingTimesLastYear,YearsSinceLastPromotion,ManagerComments,JobLevel,StockOptionLevel,Age,JobSatisfaction,Department,MonthlyIncome,EnvironmentSatisfaction,MaritalStatus,RelationshipSatisfaction,YearsWithCurrManager,Education,JobRole
11,3,15,4,3,23894,06/01/17,2,80,1,Life Sciences,Rarely,N,11,37,2,3,902,FALSE,MALE,Y,4,0,0,,1,1,32,4,Sale,5082,4,S,4,3,3,Sales Executive
12,4,23,2,0,2720,22/09/10,4,80,1,Medical,Travel Rarely,NO,1,39,0,3,364,No,Male,Y,4,3,0,On PIP,3,0,32.0 years,1,Research & Development,11662,4,married,4,0,1,Laboratory Technician
13,1,24,1,1,23459,27/01/04,2,80,1,Medical,Frequently,NO,29,86,0,3,1145,No,male,Y,2,1,1,Meets expectations,1,1,39,3,Research & Development,6279,4,married,3,1,3,Laboratory Technician
14,4,21,2,2,8325,16/02/21,3,80,1,Life Sciences,Rarely,Yes,3,33,0,3,802,0,FEMALE,Y,4,3,2,Flight risk,3,2,19,4,Research & Development,10582,3,M,3,0,3,Healthcare Representative
15,8,14,2,6,14554,27/03/11,2,80,1,Medical,Travel Rarely,no,11,72,5,3,331,FALSE,f,Y,1,3,1,High potential,1,1,21,3,sales,nan,,Single,3,0,3,Sales Representative
16,7,15,0,5,7099,22/10/06,3,80,1,Medical,non-travel,N,3,92,3,3,285,NO,MALE,Y,3,1,0,Top performer,3,0,31,2,R&D,10275,4,single,1,2,3,Laboratory Technician
17,3,22,2,3,14568,03/12/18,3,80,1,Medical,Rarely,N,7,72,0,3,425,N,m,Y,2,3,0,Good performer,1,1,27,4,Saless,5065,4,Single,4,2,1,Sales Executive
18,13,14,3,3,6026,01-24-2007,4,80,1,Life Sciences,Rarely,No,1,96,0,3,1306,0,Female,Y,3,3,3,High potential,1,3,39,3,Research&Development,6834,4,divorced,1,1,2,Research Scientist
19,12,11,1,1,14247,06-28-2012,4,80,1,Human Resources,travel_frequently,N,1,80,1,3,496,TRUE,FEMALE,Y,4,5,0,Recently promoted,4,0,28,2,Research & Development,$13148.0,3,single,3,0,5,Manufacturing Director
20,3,13,1,3,7057,05/09/09,3,80,1,Life Sciences,Travel Frequently,NO,22,85,0,3,1325,NO,M,Y,4,6,3,Remote worker,2,1,24,2,Research&Development,8768,2,married,3,3,3,Laboratory Technician
21,3,18,3,3,25194,19/04/08,4,80,1,Life Sciences,Travel_Rarely,YES,19,72,2,3,1188,NO,M,Y,2,3,2,Average,2,0,50,3,R&D,8435,2,Single,2,0,3,Research Scientist
22,3,17,2,3,19490,04/12/15,3,80,1,Life Sciences,travel_rarely,No,17,53,2,3,1055,NO,male,Y,2,4,1,Meets expectations,1,2,34,4,Research&Development,$5065.0,3,married,4,1,1,Research Scientist
23,1,22,3,0,7305,03/06/07,3,80,1,Life Sciences,Travel_Rarely,no,7,63,0,3,654,NO,F,Y,3,3,0,Recently promoted,2,1,37,3,research & development,9395,4,Married,2,0,1,Research Scientist
24,13,17,2,0,13914,16/03/13,4,80,1,Life Sciences,Travel Frequently,YES,13,88,0,3,832,Yes,male,Y,4,4,0,On PIP,2,2,24,2,R&D,7008,4,divorced,4,0,4,Manufacturing Director
25,0,21,3,0,26118,06/09/05,3,80,1,Other,Rarely,no,1,31,0,3,1140,NO,Female,Y,2,2,0,Needs improvement,5,3,32,3,Sale,$16137.0,4,DIVORCED,2,0,3,Sales Executive
26,,13,5,1,8674,27/01/08,3,80,1,Life Sciences,Rarely,no,3,31,1,3,896,FALSE,m,Y,4,3,0,Remote worker,5,0,37.0 years,2,Research&Development,16982,3,married,2,1,3,Laboratory Technician
27,1,19,3,1,11563,11/04/08,1,80,1,Life Sciences,Travel Rarely,N,3,39,1,3,1306,1,Female,Y,3,4,1,Good performer,2,0,26,2,SALES,7039,2,Divorsed,3,1,2,Sales Executive
28,17,16,2,6,26998,08/08/20,3,80,1,Life Sciences,Travel Rarely,NO,8,52,1,3,490,N,m,Y,3,5,2,High potential,2,0,40.0 years,4,Research & Development,8762,1,D,2,0,4,Laboratory Technician
29,0,18,1,0,17316,09-14-2013,1,80,1,Medical,No Travel,N,3,44,0,4,143,Y,m,Y,3,0,0,Excellent team player,2,0,31,2,R&D,6930,3,Divorsed,3,0,2,Healthcare Representative
30,10,18,4,3,18217,12/08/20,2,80,1,Technical Degree,Travel Frequently,No,1,46,0,4,1000,FALSE,male,Y,4,1,2,On PIP,3,1,34,2,research & development,11339,,Divorsed,1,0,2,Healthcare Representative
31,0,13,0,0,4005,01/06/10,4,80,1,Life Sciences,No Travel,NO,7,43,0,4,581,FALSE,F,Y,4,5,0,,1,2,31,4,Research and Development,4849,4,Single,3,0,3,Laboratory Technician
32,15,14,,12,14741,01-21-2009,2,80,1,Life Sciences,Travel Rarely,No,13,45,0,3,1386,no,M,Y,2,3,3,,1,0,53,2,Research and Development,5322,3,MARRIED,3,4,2,Research Scientist
33,,24,2,3,16602,23/08/23,3,80,1,Life Sciences,Travel Frequently,N,3,61,3,3,1297,TRUE,male,Y,3,6,0,Transferred from other dept,1,1,36,3,R&D,4310,4,Single,3,3,2,Laboratory Technician
34,,16,0,2,23645,06/11/21,4,80,1,Life Sciences,Rarely,N,1,52,1,3,665,TRUE,male,Y,4,4,0,Remote worker,1,2,27,,sales,4491,2,single,4,2,3,Sales Representative
35,16,12,4,2,14603,20/04/15,3,80,1,Life Sciences,Travel_Rarely,N,1,63,0,3,319,0,Male,Y,2,4,0,New hire,1,0,44,2,SALES,5144,3,D,4,0,3,Sales Representative
36,12,22,1,2,15987,10/10/10,3,80,1,,Travel_Rarely,NO,2,45,0,3,871,no,female,Y,3,2,0,On PIP,2,0,26,4,Research & Development,8303,2,M,3,0,4,Manufacturing Director
37,15,22,2,5,19147,12/02/22,3,80,1,,Frequently,N,2,63,2,3,1318,0,F,Y,2,2,1,Transferred from other dept,3,1,38,4,,10993,2,M,2,2,3,Sales Executive
38,14,21,2,2,15543,09/08/19,2,80,1,Medical,travel_rarely,Yes,8,62,2,3,508,NO,female,Y,3,3,0,Key talent,2,0,19,3,Sales,10558,4,divorced,3,1,1,Sales Representative
39,2,22,3,1,11144,03-14-2020,4,80,1,Life Sciences,Travel_Rarely,no,7,97,1,3,570,TRUE,male,Y,2,4,0,Exceeded expectations,1,3,25,1,research & development,3513,4,divorced,4,0,2,Research Scientist
40,6,17,0,6,13114,01/04/18,2,80,1,Human Resources,travel_rarely,NO,9 km,72,3,3,1470,FALSE,f,Y,3,3,0,Recently promoted,1,0,38,4,Sales,4903,1,D,4,4,5,Sales Representative
41,32,12,3,1,7691,09/09/12,4,80,1,Technical Degree,Rarely,No,3,93,1,3,1184,yes,male,Y,3,3,1,,2,2,43,3,Research and Development,5639,2,single,1,0,3,Research Scientist
42,4,21,2,1,9059,02-24-2009,2,80,1,Medical,travel_frequently,NO,13 km,47,0,3,265,NO,Male,Y,2,4,1,,1,1,38,3,Research and Development,5558,2,single,3,1,4,Manufacturing Director
43,35,15,0,5,6479,10/10/10,2,80,1,Life Sciences,Rarely,N,1,97,5,4,771,0,male,Y,3,3,1,Recently promoted,2,0,35,4,Research&Development,6327,1,MARRIED,4,0,1,Research Scientist
44,8,22,1,8,6198,09/09/14,1,80,1,Life Sciences,Travel Rarely,NO,5,90,6,3,1274,No,MALE,Y,2,5,2,Needs improvement,5,0,34,3,Research and Development,16582,4,single,3,3,3,Laboratory Technician
45,6,14,5,1,11091,08/08/07,2,80,1,Medical,Travel Frequently,Y,12 km,49,1,3,210,TRUE,FEMALE,Y,4,2,1,Excellent team player,1,0,23,3,Research & Development,4441,,SINGLE,3,0,1,Manufacturing Director
46,10,19,1,1,22407,20/06/21,3,80,1,Medical,Travel_Rarely,Yes,1,40,0,3,648,Yes,f,Y,3,1,0,New hire,1,0,30,,research & development,5421,3,M,2,0,3,Research Scientist
47,16,23,3,5,17068,07/02/06,3,80,1,Medical,Travel_Rarely,Yes,1,75,3,3,1126,No,f,Y,3,3,5,Top performer,2,0,nan,3,Saless,7170,2,Divorsed,3,1,4,Sales Representative
48,5,23,1,4,6205,28/08/05,4,80,1,Technical Degree,travel_rarely,no,17,93,4,3,1136,No,MALE,Y,3,2,0,Remote worker,5,1,46,4,Sales,16107,2,Married,2,4,5,Sales Representative
49,0,12,3,0,5641,16/02/07,1,80,1,Human Resources,travel_rarely,Y,3,57,0,3,1285,Y,m,Y,1,6,0,Top performer,3,1,40,2,Sale,13153,2,single,2,0,3,Sales Representative
50,12,17,2,0,5543,20/02/07,3,80,1,Life Sciences,Travel_Rarely,no,9 km,77,0,4,443,No,m,Y,4,0,0,Remote worker,4,1,21,4,Sales,14426,4,M,4,0,3,Sales Executive
51,31,23,2,0,17424,04/01/17,2,80,1,Medical,Travel Rarely,No,1,64,0,3,431,1,M,Y,4,5,0,Exceeded expectations,1,0,39,,Saless,4158,,S,2,0,5,Sales Executive
52,9,17,1,7,7591,02-22-2020,3,80,1,Life Sciences,Rarely,N,9,37,0,3,363,No,M,Y,3,5,3,Meets expectations,5,1,33,2,,16623,2,single,4,0,3,Laboratory Technician
53,2,17,2,2,13833,20/11/23,3,80,1,Life Sciences,Travel Frequently,no,3,51,1,3,182,FALSE,male,Y,3,1,0,On PIP,1,0,30,1,Research and Development,$7468.0,2,Married,2,1,1,Laboratory Technician
54,2,11,2,2,25627,26/07/06,3,80,1,Medical,Non-Travel,NO,1,53,0,3,876,N,MALE,Y,4,4,2,High potential,1,3,42,3,Research&Development,4647,2,Married,3,2,3,Manufacturing Director
55,24,18,2,4,8116,23/02/12,2,80,1,Life Sciences,None,YES,7,95,0,3,1023,NO,Male,Y,3,3,2,,4,3,46,4,SALES,12966,1,married,2,2,2,Sales Executive
56,0,12,1,0,24717,06-14-2017,4,80,1,Technical Degree,travel_rarely,No,2,93,0,3,433,no,FEMALE,Y,3,4,0,Excellent team player,4,2,45,3,Research&Development,12972,2,S,3,0,3,Research Scientist
57,7,15,1,7,2761,04/02/20,3,80,1,Life Sciences,Travel_Rarely,No,3,94,2,3,1342,FALSE,FEMALE,Y,4,1,0,On PIP,1,1,29,4,sales,$4176.0,4,divorced,4,5,3,Sales Executive
58,1,12,0,0,4407,09-28-2019,3,80,1,Medical,Travel Rarely,no,1,43,0,4,757,YES,F,Y,3,5,0,Good performer,1,0,34,3,Research & Development,4108,4,Married,1,0,3,Research Scientist
59,3,23,2,3,2885,24/06/19,2,80,1,Medical,travel_rarely,no,1,54,1,3,553,NO,F,Y,2,3,0,New hire,1,0,39,4,Research & Development,3080,2,married,4,3,3,Research Scientist
60,3,15,1,0,24606,08-24-2012,3,80,1,Medical,travel_rarely,yes,2,32,0,4,772,no,m,Y,1,4,0,Top performer,1,2,45,1,sales,$3313.0,2,M,3,0,2,Sales Representative
61,2,17,2,2,4643,24/10/13,4,80,1,Life Sciences,Travel_Rarely,N,1,34,2,3,840,No,Female,Y,3,3,0,Transferred from other dept,1,0,32,3,Research and Development,3756,2,Divorsed,4,2,3,Manufacturing Director
62,15,16,3,0,13125,25/02/19,2,80,1,Technical Degree,Travel Rarely,YES,19,94,0,3,1212,No,F,Y,3,3,0,,5,1,35,1,Research & Development,nan,1,Married,1,0,4,Research Scientist
63,4,23,4,1,23494,08/06/22,4,80,1,,Travel_Frequently,N,1,83,1,3,432,0,m,Y,2,2,0,Top performer,3,2,27,4,R&D,10428,3,Married,4,0,3,Research Director
64,4,22,1,4,3468,10/09/05,3,80,1,Medical,Rarely,N,5,48,0,3,409,No,Male,Y,1,2,0,High potential,3,1,nan,3,Research & Development,10689,3,Divorced,2,3,3,Laboratory Technician
65,6,15,2,4,24676,02/07/18,3,80,1,Life Sciences,Frequently,no,1,83,1,3,826,No,F,Y,4,3,0,,3,0,44,2,Sale,$12905.0,3,M,4,4,5,Manager
66,23,14,2,11,26585,15/05/04,4,80,1,Medical,travel_rarely,NO,2,39,1,3,453,0,MALE,Y,2,4,5,Average,2,0,49,3,Research and Development,9942,4,married,4,5,4,Manufacturing Director
67,11,18,2,2,24045,11/10/09,4,80,1,Marketing,Travel Frequently,no,20,45,0,3,923,FALSE,MALE,Y,3,1,0,Recently promoted,3,0,36,3,research & development,10576,3,Married,3,1,2,Manufacturing Director
68,0,21,0,0,24447,06-21-2021,2,80,1,Medical,Rarely,YES,1,75,0,3,1223,no,Male,Y,1,6,0,Key talent,2,1,46,4,Research and Development,7053,2,M,4,0,1,Research Scientist
69,0,24,0,0,15366,12/03/20,4,80,1,Marketing,Rarely,NO,27,58,0,3,244,0,Male,Y,3,4,0,Exceeded expectations,1,1,40,3,sales,3703,3,S,2,0,4,Sales Executive
70,8,18,1,3,9015,30/12/21,3,80,1,Medical,Rarely,yes,1,44,1,3,1133,FALSE,M,Y,3,2,3,Meets expectations,2,3,31,3,Research and Development,9039,2,MARRIED,4,3,4,Research Scientist
71,21,11,2,4,8323,17/09/17,3,80,1,Life Sciences,Rarely,No,10,77,1,3,1167,No,M,Y,4,2,0,,2,1,40,4,Research and Development,7692,3,Divorced,4,0,5,Manufacturing Director
72,3,20,4,0,10935,03/04/23,3,80,1,Life Sciences,Travel_Rarely,N,6 km,40,0,4,1009,FALSE,Male,Y,4,5,0,Needs improvement,3,0,50,4,sales,10420,3,Divorsed,1,0,4,Sales Executive
73,2,12,4,2,4428,15/03/13,4,80,1,Life Sciences,travel_rarely,NO,17,63,1,3,860,No,Male,Y,2,1,1,,5,0,36.0 years,1,Research and Development,15779,4,M,3,2,3,Manufacturing Director
74,13,13,,1,13685,11/11/06,3,80,1,Medical,travel_rarely,yes,6,65,1,3,594,Yes,f,Y,3,2,1,,2,1,51,4,Sales,6845,4,married,4,0,3,Sales Executive
75,9,23,2,3,14738,20/07/22,4,80,1,Marketing,Rarely,Y,6,59,3,3,1292,0,m,Y,3,1,0,,3,3,18,3,Research&Development,11480,4,S,3,3,1,Healthcare Representative
76,8,11,0,3,11308,04/10/23,3,80,1,Life Sciences,travel_rarely,N,1,48,0,3,741,no,m,Y,2,5,0,Remote worker,1,0,44.0 years,4,R&D,3026,3,D,3,1,2,Research Scientist
77,1,21,5,1,17879,03-21-2006,3,80,1,Medical,travel_rarely,no,1,97,1,3,630,Y,MALE,Y,3,3,1,Exceeded expectations,3,2,37.0 years,3,Research&Development,12492,3,DIVORCED,2,1,3,Research Scientist
78,1,13,2,0,17772,30/09/21,3,80,1,Medical,non-travel,Yes,19,99,0,3,1459,FALSE,FEMALE,Y,4,2,0,,2,0,34,2,sales,7199,4,Married,2,0,3,Sales Executive
79,3,20,2,3,12633,28/02/06,3,80,1,Medical,travel_rarely,No,3,62,2,3,612,FALSE,m,Y,4,2,2,Transferred from other dept,1,0,37.0 years,4,sales,nan,1,D,4,0,3,Sales Executive
80,2,22,2,2,25492,25/05/10,3,80,1,Life Sciences,Non Travel,no,3,51,1,3,229,0,m,Y,3,2,2,,2,3,19.0 years,3,research & development,$5994.0,2,married,2,2,4,Research Scientist
81,35,18,4,0,19738,04/11/06,3,80,1,Life Sciences,Travel_Rarely,No,11,65,0,3,1107,no,Female,Y,3,1,0,High potential,2,0,35,3,research & development,7981,2,MARRIED,4,0,2,Manufacturing Director
82,0,14,3,0,24211,08/01/13,3,80,1,Life Sciences,Rarely,Y,3 km,52,0,3,1373,No,FEMALE,Y,3,4,0,On PIP,1,1,40,4,SALES,4507,3,S,2,0,3,Sales Executive
83,,23,,1,20864,12/05/16,4,80,1,Life Sciences,Travel Rarely,no,24,92,1,3,833,FALSE,m,Y,3,3,1,Needs improvement,4,0,50,2,Saless,13924,4,married,3,1,1,Sales Executive
84,7,23,3,0,13193,15/05/16,2,80,1,Life Sciences,Travel_Frequently,NO,10,55,0,3,1046,yes,female,Y,3,3,0,Flight risk,1,2,32,2,sales,$7207.0,2,Married,1,0,3,Sales Representative
85,3,17,2,0,19570,03-23-2016,1,80,1,Life Sciences,travel_rarely,no,7,89,0,3,1261,NO,M,Y,3,2,0,Remote worker,4,2,29,2,Research and Development,14266,4,MARRIED,4,0,4,Research Scientist
86,21,17,1,8,17281,07/08/05,3,80,1,Medical,Frequently,No,17,34,8,3,1398,YES,m,Y,2,3,2,,3,2,nan,4,Sales,9808,3,M,1,1,4,Manager
87,11,21,,0,25293,26/10/15,3,80,1,Life Sciences,Rarely,Y,1,83,0,3,1101,Y,MALE,Y,4,2,0,Average,1,0,45,4,R&D,3933,4,DIVORCED,3,0,5,Research Director
88,40,15,1,3,6087,07/06/15,1,80,1,Other,Rarely,N,2,67,2,3,563,FALSE,m,Y,1,4,2,,2,0,39.0 years,2,Research & Development,8892,3,single,4,1,2,Research Scientist
89,1,22,3,1,8228,12/08/15,3,80,1,,Rarely,NO,5,91,0,4,240,Yes,female,Y,3,4,1,Recently promoted,3,1,32,1,Research and Development,12948,4,Married,4,1,3,Research Scientist
90,0,11,1,0,4831,02/11/05,4,80,1,Life Sciences,travel_frequently,yes,2,54,0,3,1379,TRUE,Male,Y,4,1,0,New hire,2,0,41.0 years,3,Human Resourses,8422,2,Married,4,0,3,Human Resources
91,1,20,0,1,22045,09/02/13,3,80,1,Life Sciences,Rarely,No,10,41,0,3,981,N,MALE,Y,3,1,0,Exceeded expectations,3,1,37,4,Research and Development,12033,4,Married,4,1,3,Manufacturing Director
92,3,14,8,3,20132,11-28-2014,4,80,1,Life Sciences,Travel Rarely,YES,20,51,1,3,555,NO,Female,Y,2,4,2,High potential,2,1,45,3,Research & Development,8914,2,Married,4,3,4,Laboratory Technician
93,5,17,1,1,13055,21/10/20,4,80,1,Marketing,Travel Rarely,no,4,38,1,3,533,N,F,Y,4,1,1,Recently promoted,2,0,30,3,sales,10128,3,S,4,1,3,Sales Representative
94,19,24,0,0,26318,03/01/21,2,80,1,Life Sciences,Rarely,No,3,58,0,4,272,FALSE,Male,Y,4,3,0,Exceeded expectations,5,1,34,2,Research&Development,14075,2,single,3,0,4,Manufacturing Director
95,3,15,4,3,15795,08-26-2017,4,80,1,Human Resources,travel_frequently,No,26,73,3,3,572,TRUE,f,Y,3,3,3,Average,1,2,33.0 years,3,SALES,6000,4,MARRIED,3,0,2,Sales Executive
96,24,12,0,3,9552,01-25-2007,3,80,1,Technical Degree,Travel Rarely,N,4,56,0,3,1119,NO,male,Y,3,2,0,Meets expectations,2,3,23,1,sales,9475,4,M,1,3,4,Sales Representative
97,6,24,3,0,21648,28/08/15,4,80,1,Medical,Travel Rarely,N,5,84,0,3,1016,NO,Female,Y,3,3,0,Top performer,1,0,39,1,research & development,2991,4,SINGLE,4,0,1,Manufacturing Director
98,10,18,1,3,23756,12/07/08,2,80,1,Medical,Travel Rarely,N,3,34,3,4,538,no,female,Y,3,3,1,Key talent,3,0,39,2,Human Resourses,9671,3,Married,2,2,4,Human Resources
99,3,12,2,0,24158,06/04/13,2,80,1,Medical,Travel_Rarely,Yes,19,81,0,4,1115,No,FEMALE,Y,3,3,0,High potential,3,0,37,3,Sale,nan,3,married,4,0,3,Sales Representative
100,1,21,2,1,23747,10/02/09,2,80,1,Life Sciences,Travel_Rarely,no,6,42,1,4,1180,NO,MALE,Y,1,2,0,Exceeded expectations,1,0,34,2,sales,3906,2,M,3,1,3,Sales Representative
101,20,18,2,2,26275,08/10/09,1,80,1,Medical,Travel Rarely,no,11,71,2,3,597,No,m,Y,2,4,0,Average,1,0,24,3,SALES,4277,3,Divorsed,4,1,3,Sales Executive
102,1,23,1,0,25234,11/09/05,3,80,1,Life Sciences,travel_rarely,no,13 km,44,0,3,268,N,m,Y,2,1,0,Recently promoted,1,3,33,3,sales,5363,,SINGLE,2,0,5,Sales Executive
103,14,21,2,1,16605,15/09/09,2,80,1,Life Sciences,travel_rarely,NO,3,47,1,3,1088,N,m,Y,3,2,1,Key talent,2,0,33,4,R&D,9298,4,SINGLE,4,0,1,Laboratory Technician
104,8,12,1,2,13282,11-23-2022,3,80,1,Medical,Travel Rarely,YES,4,79,2,3,660,NO,male,Y,4,2,2,Average,2,0,29,3,Research&Development,9621,4,M,3,1,3,Research Scientist
105,19,21,0,8,3063,02/06/07,3,80,1,Medical,Travel Rarely,N,15,31,0,3,527,No,F,Y,3,4,0,On PIP,5,0,35,2,Saless,15743,4,MARRIED,4,0,4,Manager
106,12,15,1,0,25043,15/12/13,2,80,1,Technical Degree,travel_rarely,Y,3,42,0,3,518,NO,M,Y,3,2,0,Recently promoted,2,0,40,4,Research and Development,6732,3,MARRIED,2,0,3,Research Scientist
107,3,14,3,0,15344,19/01/13,3,80,1,Life Sciences,Travel_Rarely,no,12,97,0,3,1470,YES,M,Y,4,4,0,Flight risk,1,0,53,1,Research&Development,6973,3,D,1,0,2,Manufacturing Director
108,8,11,1,3,22132,03/07/10,2,80,1,Marketing,Travel_Frequently,N,22,76,3,3,554,no,FEMALE,Y,3,3,1,,4,1,38,,Sale,14970,3,divorced,3,0,3,Sales Executive
109,0,24,4,0,22929,09/02/16,2,80,1,Life Sciences,Travel Rarely,no,7,79,0,3,813,N,MALE,Y,4,4,0,High potential,2,0,39.0 years,4,Saless,8124,3,D,3,0,3,Sales Executive
110,6,22,2,0,17898,03-29-2013,3,80,1,Life Sciences,travel_frequently,no,10,41,0,3,301,No,F,Y,4,3,0,Good performer,2,0,36,3,research & development,8710,1,M,2,0,4,Research Director
111,0,18,4,0,4732,11/09/04,1,80,1,Life Sciences,Travel_Rarely,NO,13,42,0,3,278,Y,m,Y,4,3,0,Needs improvement,1,0,19,4,SALES,4955,4,married,4,0,4,Sales Representative
112,5,20,1,1,3872,09/01/21,3,80,1,Life Sciences,Travel Rarely,yes,14,38,1,3,156,yes,Male,Y,2,4,0,Flight risk,2,1,36.0 years,2,sales,8786,2,MARRIED,1,1,3,Sales Executive
113,1,22,0,1,6720,30/04/17,2,80,1,Life Sciences,Rarely,N,4,88,1,3,1045,0,M,Y,2,3,1,Good performer,4,0,37,1,R&D,13495,3,S,3,1,5,Research Scientist
114,31,13,5,1,3969,14/12/07,4,80,1,Medical,Travel Rarely,no,1,74,1,3,600,N,Male,Y,3,4,0,Meets expectations,2,0,59.0 years,3,Saless,8403,4,MARRIED,2,1,3,Sales Executive
115,7,23,3,0,14155,04/03/12,4,80,1,Marketing,Rarely,Y,4,99,0,3,838,yes,F,Y,3,0,0,Good performer,1,3,35,3,research & development,nan,4,SINGLE,1,0,1,Laboratory Technician
116,24,14,2,5,13870,04-26-2006,1,80,1,,No Travel,no,8,72,5,3,211,FALSE,Male,Y,4,3,0,New hire,2,0,nan,2,Research & Development,nan,4,Divorsed,4,2,2,Research Scientist
117,0,14,1,0,18702,08/08/12,3,80,1,Medical,travel_rarely,No,4,52,0,3,1271,N,m,Y,2,4,0,Flight risk,4,1,36,2,Research & Development,$12984.0,1,MARRIED,3,0,3,Laboratory Technician
118,10,15,2,5,5717,10/01/12,2,80,1,Technical Degree,travel_rarely,NO,11,74,5,3,814,Yes,MALE,Y,3,4,0,Exceeded expectations,1,2,26,,Research & Development,$4438.0,2,M,4,3,2,Research Director
119,3,13,2,2,23875,02-28-2017,2,80,1,Medical,travel_rarely,NO,3,52,0,3,976,yes,M,Y,3,4,2,Remote worker,2,0,47,,R&D,6610,2,married,4,2,5,Laboratory Technician
120,5,19,1,5,3374,08/12/11,3,80,1,Medical,non-travel,yes,8,63,4,4,1471,0,F,Y,3,3,2,Top performer,5,2,43,4,sales,nan,4,Single,4,4,4,Sales Representative
121,20,14,2,4,23826,13/06/13,4,80,1,Life Sciences,Rarely,N,1 km,45,0,3,1481,Y,m,Y,2,6,2,,1,3,44,4,Sale,2728,2,single,3,1,2,Sales Representative
122,39,24,1,9,10679,11-29-2013,1,80,1,Technical Degree,Travel Rarely,no,11,92,8,3,1179,no,female,Y,4,2,1,On PIP,3,0,28,4,Research&Development,11823,4,M,4,9,3,Laboratory Technician
123,2,20,1,2,18834,08/02/13,3,80,1,Medical,travel_rarely,YES,6,80,0,3,912,0,F,Y,2,2,2,Top performer,2,2,49,2,Sales,7876,4,single,3,2,4,Sales Representative
124,29,21,4,5,26928,08/07/18,4,80,1,Life Sciences,Travel_Frequently,N,1,61,0,3,1439,FALSE,Male,Y,2,0,0,Exceeded expectations,3,0,24.0 years,1,research & development,8442,4,Married,3,2,5,Laboratory Technician
125,11,21,3,1,15427,02/05/20,3,80,1,Life Sciences,Travel_Rarely,No,2,67,1,3,1063,No,f,Y,4,6,0,Recently promoted,2,0,42,2,research & development,6747,1,divorced,2,1,4,Healthcare Representative
126,30,14,2,2,25564,14/02/09,4,80,1,Marketing,Travel_Rarely,No,11,85,0,4,1308,N,male,Y,3,2,2,Recently promoted,1,2,56,3,Saless,5504,1,Divorsed,3,0,3,Sales Executive
